label,family,epochs,encoding,test_acc,test_loss,test_spike_count
SCNN base,SCNN,baseline,rate,0.3901955602536998,2.767381117661458,44.68016649048626
SCNN deep,SCNN,baseline,rate,0.5364693446088795,2.7329117485635126,75.9271934460888
SCNN x2 base,SCNN,x2,rate,0.680299,2.508408,46.448005
SCNN x2 deep,SCNN,x2,rate,0.791755,2.446172,42.797172
Event2Vec 5e,Event2Vec,5,rate,0.7497357293868921,0.7978770991838507,179.0883324524313
Event2Vec 10e,Event2Vec,10,rate,0.833576,0.521762,179.127246
Event2Vec 50e,Event2Vec,50,rate,0.921049154334038,0.2530126451469375,179.30780919661734
