encoding,best_epoch,best_val_acc,best_val_loss,best_val_token_count,test_acc,test_loss,test_token_count,test_spike_count,last_test_acc,last_test_loss
rate,47,0.9230972515856237,0.23976095636664688,181.3968023255814,0.921049154334038,0.2530126451469375,179.30780919661734,179.30780919661734,0.919793868921776,0.2592385758588732
latency,49,0.9571220930232558,0.16364706628197848,342.7225158562368,0.9557346723044398,0.15892007405107672,341.1333245243129,341.1333245243129,0.9519027484143763,0.16864119148783654
delta,49,0.7292989602164617,0.8768094943670024,144.5796957409571,0.7236772671341896,0.8902357532554084,142.750661277771,142.750661277771,0.7218915521388962,0.8889267641773803
